;; SKK dictionary filtered by BCCWJ frequency data
;;
;; Filtered for Commander X16 Japanese editor
;; Selection based on BCCWJ corpus frequency rankings
;;
;; okuri-ari entries.
いとu /厭/
おちいr /陥/
ふさわしi /相応/
ふさわs /相応/
やn /病/止/遣/殺/
えらi /偉/豪/
かぞえr /数/
およぼs /及/
あつかi /扱/
ぶk /拭/吹/葺/
つくりだs /作り出/創り出/造り出/
ぞんz /存/
ぞんj /存/
おおt /覆/蔽/被/
になu /担/荷/
いたk /甚/痛/
かんb /甲/
とi /問/説/解/溶/研/訪/磨/釈/
したi /慕/
みなおs /見直/
ずm /住/澄/
とどけd /届/
するどi /鋭/
ありがたi /有り難/有難/
さわr /触/障/
ものすごi /物凄/
はなt /放/鼻/
ふるえr /震/
ぶんs /分/
かくg /角/
あo /合/会/遭/逢/遇/
とびだs /飛び出/飛出/
つかr /疲/憑/
かがm /屈/
なげr /投/
さらd /更/
かくれr /隠/
はなしあu /話し合/話合/
ねe /寝/
てt /手/輝/照/
であi /出会/出合/出逢/
ふm /踏/践/履/
みいだs /見出/見い出/
とりわk /取り分/取分/
なつかs /懐/
とまt /止/停/泊/留/
たどr /辿/
おいr /老/
やくだt /役立/
あきr /呆/明/惘/
しゅうs /修/
えs /得/獲/
きずk /築/
ひっt /引/
ぎょうz /行/
さんs /参/算/
うめr /埋/
ただよu /漂/
おさなi /幼/
たよr /頼/便/
なるべk /成る可/
ぶs /伏/撫/
いw /言/居/射/謂/云/鋳/
しぼr /絞/搾/
ちゅうs /沖/注/註/冲/誅/
もえr /燃/萌/
たおr /倒/手折/
とどけr /届/
こなs /熟/
へt /経/減/歴/
しかr /叱/然/而/呵/
へいs /聘/
いのr /祈/祷/
したしi /親/
したs /親/
まるi /丸/円/
しなi /撓/
まg /曲/枉/間/
およs /凡/
なりたt /成り立/成立/
みちびk /導/
さぐr /探/
ほr /彫/掘/惚/
そろえr /揃/
さらs /晒/曝/更/
かわs /交/躱/
ひるm /怯/
むすびつk /結び付/結付/
ひかえr /控/
どなt /怒鳴/
やせr /痩/瘠/
とりもどs /取り戻/取戻/
かしつk /貸し付/貸付/
つr /連/釣/吊/攣/
たk /炊/焚/長/闌/
くずれr /崩/
ひきおこs /引き起/引起/
ぬn /塗/
おもいきr /思い切/思切/
きらu /嫌/
こうr /梱/
くさi /臭/
